product_id,name,description,category,brand,price
77299,iPhone 13 256GB 2 Sim - Cũ Đẹp,,Hàng cũ,Apple,16990000.0
25593,Túi chống sốc S-case Classic 15.6 Inch,,Phụ kiện,,200000
50335,Loa Bluetooth Tronsmart Element T6 Max 60W,,Âm thanh,,2730000.0
84218,Bàn phím cơ Rapoo V510C Led Rainbow Blue Switch,,Phụ kiện,,790000
97425,Pin dự phòng StarGO Star X1 10000mAh 22.5W,,Phụ kiện,,790000
108412,Ốp lưng Flipsuit Samsung Galaxy Z Flip7 chính hãng,,Phụ kiện,,1090000.0
79468,Robot hút bụi lau nhà tự động làm sạch Roborock S8 Max Ultra - Chỉ có tại CellphoneS,,Nhà thông minh,,26990000.0
56936,Củ sạc Golf GF-U206 2 cổng USB-A,,Phụ kiện,,120000
83645,Đồng hồ thông minh Huawei Watch GT3 Pro dây da - Cũ Trầy Xước,,Hàng cũ,,8990000.0
99139,Dán kính cường lực màn hình Samsung Galaxy S25 Ultra Zeelot Solidsleek Full cao cấp,,Phụ kiện,,390000
